Date,Product,Category,Campaign_Type,Platform,Leads,Conversions,Revenue,Spend,Impressions,Clicks,Country
2020-03-25,5-Min Meditation Club,Skill,WhatsApp,Facebook,512,112,53848.5,2606.64,16795,1605,India
2020-03-25,3-Day Challenge,Digital,Email,Facebook,304,33,62350.03,4008.52,45131,1031,India
2020-03-25,21-Day Upgrade,Digital,Email,WhatsApp,178,33,42944.06,1502.45,18568,694,India
2020-03-25,Mindset Coaching,Coaching,WhatsApp,Facebook,5,0,0.0,103.59,1189,21,India
2020-03-25,Spiritual Sessions,Digital,Email,WhatsApp,66,14,3202.35,439.71,15502,173,India
2020-03-25,1:1 Mentorship,Physical,Email,YouTube,127,13,8655.45,2378.93,24483,513,India
2020-03-25,Dashboard Templates,Digital,Ads,WhatsApp,30,4,6380.96,556.13,2021,114,India
2020-03-25,Meditation Audio Pack,Physical,Influencer,YouTube,395,54,42422.11,3689.16,33606,3124,India
2020-03-25,E-book,Skill,Influencer,Instagram,319,49,22229.52,4895.69,18262,1544,India
2020-03-25,Clothing Brand,Coaching,WhatsApp,Google,1638,228,380265.37,5048.09,49984,4939,India
2020-03-26,5-Min Meditation Club,Digital,Content,Facebook,47,5,6609.68,1010.7,13666,227,India
2020-03-26,3-Day Challenge,Skill,Content,Facebook,366,77,150079.3,5091.26,31818,2011,India
2020-03-26,21-Day Upgrade,Coaching,WhatsApp,Instagram,674,137,33668.36,7371.65,34270,2720,India
2020-03-26,Mindset Coaching,Coaching,Email,Facebook,796,101,118343.11,8817.59,42523,2580,India
2020-03-26,Spiritual Sessions,Digital,Email,WhatsApp,91,26,34843.3,2624.14,17198,620,India
2020-03-26,1:1 Mentorship,Skill,Content,Instagram,469,97,175857.54,5401.4,47699,1277,India
2020-03-26,Dashboard Templates,Coaching,Influencer,Instagram,38,10,11193.45,114.09,2306,111,India
2020-03-26,Meditation Audio Pack,Physical,Content,Instagram,199,26,31319.17,2154.44,33562,1149,India
2020-03-26,E-book,Coaching,WhatsApp,Instagram,684,136,96928.95,8589.29,40353,3898,India
2020-03-26,Clothing Brand,Digital,Influencer,WhatsApp,189,29,18305.13,7593.59,29673,1639,India
2020-03-27,5-Min Meditation Club,Digital,Influencer,WhatsApp,656,76,48327.48,5859.45,39559,2364,India
2020-03-27,3-Day Challenge,Digital,Influencer,Google,725,85,66079.35,12085.93,41545,2784,India
2020-03-27,21-Day Upgrade,Physical,Content,Instagram,28,5,6806.56,514.62,3811,270,India
2020-03-27,Mindset Coaching,Skill,Ads,Google,329,41,16574.35,2047.45,19343,866,India
2020-03-27,Spiritual Sessions,Physical,Email,Facebook,422,89,56544.74,3817.17,17646,1224,India
2020-03-27,1:1 Mentorship,Physical,Content,WhatsApp,416,70,127035.89,8065.3,30855,2066,India
2020-03-27,Dashboard Templates,Coaching,WhatsApp,Instagram,438,102,88751.12,4342.83,13874,1307,India
2020-03-27,Meditation Audio Pack,Physical,Content,WhatsApp,326,64,127361.5,4760.46,47940,1704,India
2020-03-27,E-book,Physical,Content,WhatsApp,203,35,52419.22,5265.13,24328,1324,India
2020-03-27,Clothing Brand,Digital,WhatsApp,Google,332,49,44471.22,9045.39,42914,1849,India
2020-03-28,5-Min Meditation Club,Skill,Email,Google,744,147,220560.83,4858.49,49404,2728,India
2020-03-28,3-Day Challenge,Physical,Content,Facebook,249,48,85933.88,1328.14,45080,627,India
2020-03-28,21-Day Upgrade,Coaching,Influencer,Instagram,208,44,14767.42,3853.4,19711,783,India
2020-03-28,Mindset Coaching,Physical,Ads,YouTube,139,39,47818.29,1982.88,20778,524,India
2020-03-28,Spiritual Sessions,Skill,Influencer,YouTube,126,33,48709.31,991.3,17538,641,India
2020-03-28,1:1 Mentorship,Physical,Influencer,WhatsApp,170,37,7745.31,1278.63,20190,964,India
2020-03-28,Dashboard Templates,Digital,Ads,Google,12,1,249.71,250.06,3368,55,India
2020-03-28,Meditation Audio Pack,Digital,WhatsApp,WhatsApp,276,73,47483.03,3118.02,29312,702,India
2020-03-28,E-book,Coaching,Email,Google,532,76,26875.53,5617.92,28236,1609,India
2020-03-28,Clothing Brand,Physical,WhatsApp,WhatsApp,127,37,10135.1,3526.56,40734,914,India
2020-03-29,5-Min Meditation Club,Coaching,Content,YouTube,71,20,29055.07,2884.36,38945,664,India
2020-03-29,3-Day Challenge,Coaching,Content,Facebook,127,26,36097.24,2812.76,30305,729,India
2020-03-29,21-Day Upgrade,Coaching,Content,Facebook,515,94,79030.58,3621.49,30375,1819,India
2020-03-29,Mindset Coaching,Digital,Ads,Facebook,16,4,4214.05,560.75,10435,147,India
2020-03-29,Spiritual Sessions,Physical,Ads,WhatsApp,297,68,129775.44,1483.14,30222,1244,India
2020-03-29,1:1 Mentorship,Physical,Ads,Instagram,177,35,50089.72,1477.71,41158,468,India
2020-03-29,Dashboard Templates,Coaching,WhatsApp,Google,605,142,61244.69,5862.37,26471,1780,India
2020-03-29,Meditation Audio Pack,Skill,Ads,Facebook,680,191,62046.42,3124.1,39155,1752,India
2020-03-29,E-book,Digital,Ads,Google,370,85,121286.89,4691.77,28122,1846,India
2020-03-29,Clothing Brand,Coaching,Influencer,Facebook,716,121,32734.78,11040.57,42576,2326,India
2020-03-30,5-Min Meditation Club,Physical,Ads,Instagram,382,81,122874.24,5560.12,28384,1683,India
2020-03-30,3-Day Challenge,Coaching,WhatsApp,Instagram,553,150,232735.19,3965.33,35911,1460,India
2020-03-30,21-Day Upgrade,Physical,Email,Facebook,684,121,45976.71,6023.99,47352,2750,India
2020-03-30,Mindset Coaching,Digital,Influencer,Facebook,149,43,45947.12,2683.93,8400,724,India
2020-03-30,Spiritual Sessions,Coaching,Influencer,YouTube,456,114,184829.64,6307.8,38259,1514,India
2020-03-30,1:1 Mentorship,Digital,Email,Instagram,91,17,14138.0,1565.48,22689,344,India
2020-03-30,Dashboard Templates,Coaching,Ads,Google,756,202,121328.79,5681.87,24625,2101,India
2020-03-30,Meditation Audio Pack,Digital,Email,Instagram,118,17,29812.04,1546.23,20065,465,India
2020-03-30,E-book,Digital,WhatsApp,YouTube,1328,232,370936.55,5434.73,41262,4074,India
2020-03-30,Clothing Brand,Physical,Influencer,Instagram,144,14,4218.84,1675.92,29178,583,India
2020-03-31,5-Min Meditation Club,Physical,Content,Facebook,931,272,194284.64,8468.25,43918,3388,India
2020-03-31,3-Day Challenge,Skill,Email,Facebook,13,1,1149.86,155.2,3105,34,India
2020-03-31,21-Day Upgrade,Coaching,Influencer,Google,238,31,22632.76,3635.51,26826,1947,India
2020-03-31,Mindset Coaching,Physical,Email,Facebook,574,167,151993.25,1887.82,20087,1533,India
2020-03-31,Spiritual Sessions,Coaching,Content,WhatsApp,227,40,27147.53,1486.12,30703,775,India
2020-03-31,1:1 Mentorship,Physical,Influencer,Facebook,117,18,23130.13,2840.54,21159,1074,India
2020-03-31,Dashboard Templates,Digital,Ads,Google,227,41,76035.23,1978.17,35349,595,India
2020-03-31,Meditation Audio Pack,Skill,Influencer,YouTube,169,43,84861.14,2214.48,30548,758,India
2020-03-31,E-book,Skill,Content,Facebook,81,17,4526.75,293.45,5158,234,India
2020-03-31,Clothing Brand,Skill,Influencer,Facebook,216,44,81122.73,2811.75,41943,703,India
2020-04-01,5-Min Meditation Club,Coaching,Influencer,WhatsApp,198,29,18925.3,1694.59,11916,931,India
2020-04-01,3-Day Challenge,Digital,Ads,Google,668,73,17515.08,4238.59,22949,2043,India
2020-04-01,21-Day Upgrade,Coaching,Influencer,Facebook,383,112,182030.48,1506.59,29538,1113,India
2020-04-01,Mindset Coaching,Digital,Ads,Google,158,20,16621.15,1022.2,13173,966,India
2020-04-01,Spiritual Sessions,Skill,Content,Facebook,117,30,39592.68,1197.4,11209,463,India
2020-04-01,1:1 Mentorship,Digital,Influencer,YouTube,339,67,68771.77,1825.61,38660,898,India
2020-04-01,Dashboard Templates,Physical,WhatsApp,WhatsApp,41,6,6169.29,478.66,5300,152,India
2020-04-01,Meditation Audio Pack,Coaching,Ads,Google,753,206,402029.32,10324.56,46415,3373,India
2020-04-01,E-book,Coaching,Content,WhatsApp,426,72,85513.5,2361.52,24954,2095,India
2020-04-01,Clothing Brand,Skill,Content,Google,247,41,15011.05,4090.25,19777,1789,India
2020-04-02,5-Min Meditation Club,Physical,Ads,WhatsApp,89,24,30602.41,1190.88,20262,890,India
2020-04-02,3-Day Challenge,Skill,WhatsApp,WhatsApp,166,18,7912.99,840.02,9150,528,India
2020-04-02,21-Day Upgrade,Physical,Ads,Instagram,761,136,207716.79,5240.71,41940,3692,India
2020-04-02,Mindset Coaching,Digital,WhatsApp,Instagram,145,21,22116.06,1321.04,30926,557,India
2020-04-02,Spiritual Sessions,Digital,Content,Facebook,557,117,142274.97,5805.56,27734,1735,India
2020-04-02,1:1 Mentorship,Coaching,Influencer,Facebook,371,63,81294.86,6781.05,20123,1371,India
2020-04-02,Dashboard Templates,Skill,Content,Google,12,1,512.07,177.65,2605,83,India
2020-04-02,Meditation Audio Pack,Skill,Email,Instagram,92,27,33393.52,1375.93,25818,300,India
2020-04-02,E-book,Skill,Influencer,WhatsApp,363,103,126576.99,3904.73,47685,1210,India
2020-04-02,Clothing Brand,Coaching,Ads,Facebook,227,31,35765.07,2860.12,7469,725,India
2020-04-03,5-Min Meditation Club,Digital,Influencer,YouTube,16,3,2417.66,83.3,2917,69,India
2020-04-03,3-Day Challenge,Coaching,WhatsApp,Google,27,3,614.64,139.98,3219,90,India
2020-04-03,21-Day Upgrade,Skill,Content,YouTube,203,50,93964.43,1509.32,29253,573,India
2020-04-03,Mindset Coaching,Skill,Content,Facebook,333,81,130144.81,1052.87,20019,883,India
2020-04-03,Spiritual Sessions,Physical,Content,Facebook,116,30,34245.53,2851.75,31523,779,India
2020-04-03,1:1 Mentorship,Digital,Content,Instagram,288,54,55772.48,2096.5,18449,836,India
2020-04-03,Dashboard Templates,Skill,WhatsApp,Google,183,37,22653.09,1067.64,20096,843,India
2020-04-03,Meditation Audio Pack,Digital,WhatsApp,WhatsApp,749,99,108084.49,10979.3,32110,2432,India
2020-04-03,E-book,Digital,Ads,Facebook,285,72,40908.98,1440.42,11789,916,India
2020-04-03,Clothing Brand,Physical,Influencer,Facebook,486,100,102260.04,9349.32,47714,3717,India
2020-04-04,5-Min Meditation Club,Digital,WhatsApp,Google,238,24,29229.96,2440.12,15382,719,India
2020-04-04,3-Day Challenge,Digital,WhatsApp,WhatsApp,1174,197,189607.45,5783.58,35884,3029,India
2020-04-04,21-Day Upgrade,Physical,Email,WhatsApp,181,40,70792.92,771.08,11457,719,India
2020-04-04,Mindset Coaching,Digital,Content,Google,447,107,132393.14,1912.87,16343,1188,India
2020-04-04,Spiritual Sessions,Digital,Email,Instagram,279,78,48721.21,1182.56,40964,793,India
2020-04-04,1:1 Mentorship,Coaching,Ads,WhatsApp,831,181,54041.34,8442.23,36840,3252,India
2020-04-04,Dashboard Templates,Digital,Ads,Google,83,14,25980.36,1319.68,40224,419,India
2020-04-04,Meditation Audio Pack,Physical,Influencer,Instagram,257,72,89261.1,4679.34,37368,2348,India
2020-04-04,E-book,Physical,Content,Instagram,687,70,36432.53,8674.95,38148,2374,India
2020-04-04,Clothing Brand,Coaching,WhatsApp,Google,225,67,85203.43,5409.79,38011,1798,India
2020-04-05,5-Min Meditation Club,Physical,WhatsApp,YouTube,509,70,73480.44,3613.96,34719,3153,India
2020-04-05,3-Day Challenge,Digital,WhatsApp,WhatsApp,650,133,122542.68,7612.21,34536,2755,India
2020-04-05,21-Day Upgrade,Skill,Email,YouTube,269,41,38364.58,4537.94,13342,1269,India
2020-04-05,Mindset Coaching,Coaching,Content,Facebook,156,22,31006.95,2778.69,20846,1444,India
2020-04-05,Spiritual Sessions,Physical,WhatsApp,WhatsApp,185,45,89087.03,2925.33,7722,693,India
2020-04-05,1:1 Mentorship,Coaching,Influencer,Google,212,34,45554.34,1288.4,42124,956,India
2020-04-05,Dashboard Templates,Physical,WhatsApp,YouTube,152,28,46799.16,2532.16,21079,554,India
2020-04-05,Meditation Audio Pack,Digital,Content,YouTube,200,30,28108.23,2524.54,16358,722,India
2020-04-05,E-book,Skill,Content,YouTube,94,24,29241.55,349.67,8083,240,India
2020-04-05,Clothing Brand,Digital,WhatsApp,WhatsApp,668,160,94790.65,5410.94,36954,2073,India
2020-04-06,5-Min Meditation Club,Digital,Email,Instagram,1186,280,322949.49,16560.7,42401,3860,India
2020-04-06,3-Day Challenge,Digital,Influencer,Google,115,22,8620.52,2029.66,32653,523,India
2020-04-06,21-Day Upgrade,Digital,Influencer,Instagram,453,68,74099.12,5012.46,41760,1419,India
2020-04-06,Mindset Coaching,Coaching,WhatsApp,Facebook,564,104,200255.01,4115.99,36737,1704,India
2020-04-06,Spiritual Sessions,Skill,WhatsApp,YouTube,119,31,57285.66,2737.78,12555,996,India
2020-04-06,1:1 Mentorship,Skill,WhatsApp,WhatsApp,325,63,73818.17,4814.38,24150,2315,India
2020-04-06,Dashboard Templates,Coaching,Content,Instagram,561,73,76914.78,5072.32,16850,1452,India
2020-04-06,Meditation Audio Pack,Physical,Email,Google,718,137,46576.93,3351.9,35008,2571,India
2020-04-06,E-book,Coaching,Ads,Instagram,28,4,7727.11,926.31,20933,219,India
2020-04-06,Clothing Brand,Coaching,Influencer,Instagram,211,61,82356.64,6764.3,29470,1677,India
2020-04-07,5-Min Meditation Club,Coaching,Ads,Facebook,107,25,31471.87,1100.18,12918,935,India
2020-04-07,3-Day Challenge,Digital,WhatsApp,Facebook,209,50,93195.66,4153.28,20541,1897,India
