Date,Product,Category,Campaign_Type,Platform,Leads,Conversions,Revenue,Spend,Impressions,Clicks,Country,CTR,CPC,CPA,ROI,Conversion_Rate,Segment,Segment_Label,High_ROI
2020-03-25,5-Min Meditation Club,Skill,WhatsApp,Facebook,512,112,53848.5,2606.64,16795,1605,India,0.09556415599880917,1.62407476635514,23.273571428571426,19.65820366448762,0.06978193146417445,1,High Performers,1
2020-03-25,3-Day Challenge,Digital,Email,Facebook,304,33,62350.03,4008.52,45131,1031,India,0.022844607919168643,3.887992240543162,121.47030303030303,14.554376677676549,0.03200775945683802,2,High Performers,0
2020-03-25,21-Day Upgrade,Digital,Email,WhatsApp,178,33,42944.06,1502.45,18568,694,India,0.037376130978026716,2.164913544668588,45.52878787878788,27.582688275816167,0.04755043227665706,1,High Performers,1
2020-03-25,Mindset Coaching,Coaching,WhatsApp,Facebook,5,0,0.0,103.59,1189,21,India,0.017661900756938603,4.932857142857143,103.59,-1.0,0.0,2,Low Performers,0
2020-03-25,Spiritual Sessions,Digital,Email,WhatsApp,66,14,3202.35,439.71,15502,173,India,0.011159850341891368,2.5416763005780347,31.407857142857143,6.282868254076551,0.08092485549132948,0,High Performers,0
2020-03-25,1:1 Mentorship,Physical,Email,YouTube,127,13,8655.45,2378.93,24483,513,India,0.02095331454478618,4.637290448343079,182.99461538461537,2.638379439495908,0.025341130604288498,2,High Performers,0
2020-03-25,Dashboard Templates,Digital,Ads,WhatsApp,30,4,6380.96,556.13,2021,114,India,0.056407718951014346,4.878333333333333,139.0325,10.473864024598566,0.03508771929824561,2,High Performers,0
2020-03-25,Meditation Audio Pack,Physical,Influencer,YouTube,395,54,42422.11,3689.16,33606,3124,India,0.09295959054930668,1.180909090909091,68.31777777777778,10.499124461937134,0.017285531370038413,1,High Performers,0
2020-03-25,E-book,Skill,Influencer,Instagram,319,49,22229.52,4895.69,18262,1544,India,0.08454714708137115,3.1707836787564765,99.91204081632652,3.540630636335226,0.03173575129533679,2,High Performers,0
2020-03-25,Clothing Brand,Coaching,WhatsApp,Google,1638,228,380265.37,5048.09,49984,4939,India,0.09881161971830986,1.0220874670986029,22.140745614035087,74.32856387267263,0.046163190929337926,1,High Performers,1
2020-03-26,5-Min Meditation Club,Digital,Content,Facebook,47,5,6609.68,1010.7,13666,227,India,0.016610566369091175,4.452422907488987,202.14000000000001,5.539705154843178,0.022026431718061675,2,High Performers,0
